lucode,LULC_desc,load_n,load_p,eff_n,eff_p,crit_len_n,crit_len_p,proportion_subsurface_n,,,,,,, 
3311,BeachDuneAndSand,0.01,0.6,0.05,0.05,150,150,0,,,,,,,
3312,BeachDuneAndSand,0.01,0.6,0.05,0.05,150,150,0,,,,,,,
3313,BeachDuneAndSand,0.01,0.6,0.05,0.05,150,150,0,,,,,,,
332,BareRock,0.01,0.6,0.05,0.05,150,150,0,,,,,,,
333,SparseVegetation,6,0.6,0.3,0.05,150,150,0,,,,,,,
334,BurnedLand,0.01,0.6,0.05,0.05,150,150,0,,,,,,,
335,GlacierAndPerpetualSnow,0,0,0.02,0,150,150,0,,,,,,,
3352,GlacierAndPerpetualSnow,0,0,0.02,0,150,150,0,,,,,,,
411,InlandMarsh,5,1.9,0.8,0.4,150,150,0,,,,,,,
412,PeatBog,5,1.9,0.8,0.4,150,150,0,,,,,,,
413,VegetatedStillWaterBody,0,0.6,0.02,0.05,150,150,0,,,,,,,
421,SaltMarsh,5,1.9,0.8,0.4,150,150,0,,,,,,,
422,Saline,5,1.9,0.8,0.4,150,150,0,,,,,,,
423,IntertidalFlat,5,1.9,0.8,0.4,150,150,0,,,,,,,
511,Watercourse,0,0.6,0.02,0.05,150,150,0,,,,,,,
512,StillWaterBody,0,0.6,0.02,0.05,150,150,0,,,,,,,
513,StillWaterBody,0,0.6,0.02,0.05,150,150,0,,,,,,,
514,StillWaterBody,0,0.6,0.02,0.05,150,150,0,,,,,,,
5141,StillWaterBody,0,0.6,0.02,0.05,150,150,0,,,,,,,
5142,StillWaterBody,0,0.6,0.02,0.05,150,150,0,,,,,,,
5143,InlandWaterBody,0,0.6,0.02,0.05,150,150,0,,,,,,,
521,CoastalLagoon,0,0.6,0.02,0.05,150,150,0,,,,,,,
522,SeaAndOcean,0,0.6,0.02,0.05,150,150,0,,,,,,,
523,MarineWaterBody,0,0.6,0.02,0.05,150,150,0,,,,,,,
99,NoData,0,0,0,0,0,0,0,,,,,,,
